window,TP,FP,FN,precision,recall,f1,latency_sec,num_generated,num_ground_truth
3160,14,0,2,1.0,0.875,0.9333333333333333,0.12809991836547852,14,16
3170,16,0,2,1.0,0.8888888888888888,0.9411764705882353,0.14663195610046387,16,18
3180,13,0,2,1.0,0.8666666666666667,0.9285714285714286,0.11955761909484863,13,15
3190,13,0,2,1.0,0.8666666666666667,0.9285714285714286,0.11585569381713867,13,15
3200,12,0,2,1.0,0.8571428571428571,0.923076923076923,0.11460638046264648,12,14
3210,11,0,2,1.0,0.8461538461538461,0.9166666666666666,0.10139107704162598,11,13
3220,13,0,2,1.0,0.8666666666666667,0.9285714285714286,0.12260270118713379,13,15
3230,12,0,2,1.0,0.8571428571428571,0.923076923076923,0.11231112480163574,12,14
3240,14,0,2,1.0,0.875,0.9333333333333333,0.1291964054107666,14,16
3250,14,0,2,1.0,0.875,0.9333333333333333,0.12839508056640625,14,16
3260,17,0,2,1.0,0.8947368421052632,0.9444444444444444,0.16953516006469727,17,19
3270,16,0,2,1.0,0.8888888888888888,0.9411764705882353,0.17760658264160156,16,18
3280,14,0,2,1.0,0.875,0.9333333333333333,0.14552831649780273,14,16
3290,19,0,2,1.0,0.9047619047619048,0.9500000000000001,0.1819310188293457,19,21
3300,21,0,2,1.0,0.9130434782608695,0.9545454545454545,0.1926424503326416,21,23
3310,23,0,2,1.0,0.92,0.9583333333333334,0.21713042259216309,23,25
3320,20,0,2,1.0,0.9090909090909091,0.9523809523809523,0.19200730323791504,20,22
3330,23,0,2,1.0,0.92,0.9583333333333334,0.22495722770690918,23,25
3340,25,0,2,1.0,0.9259259259259259,0.9615384615384615,0.2322378158569336,25,27
3350,26,0,2,1.0,0.9285714285714286,0.962962962962963,0.23931598663330078,26,28
3360,26,0,2,1.0,0.9285714285714286,0.962962962962963,0.4362905025482178,26,28
3370,25,0,2,1.0,0.9259259259259259,0.9615384615384615,0.31404948234558105,25,27
3380,28,0,1,1.0,0.9655172413793104,0.9824561403508771,0.2981142997741699,28,29
3390,26,0,1,1.0,0.9629629629629629,0.9811320754716981,0.26897501945495605,26,27
3400,23,0,2,1.0,0.92,0.9583333333333334,0.2425997257232666,23,25
3410,22,0,2,1.0,0.9166666666666666,0.9565217391304348,0.22708487510681152,22,24
3420,24,0,2,1.0,0.9230769230769231,0.9600000000000001,0.2663419246673584,24,26
3430,19,0,1,1.0,0.95,0.9743589743589743,0.19251632690429688,19,20
3440,15,0,1,1.0,0.9375,0.967741935483871,0.16693115234375,15,16
3450,15,0,1,1.0,0.9375,0.967741935483871,0.1905076503753662,15,16
3460,18,0,2,1.0,0.9,0.9473684210526316,0.17730951309204102,18,20
3470,19,0,2,1.0,0.9047619047619048,0.9500000000000001,0.2833831310272217,19,21
3480,16,0,2,1.0,0.8888888888888888,0.9411764705882353,0.19229364395141602,16,18
3490,16,0,2,1.0,0.8888888888888888,0.9411764705882353,0.2023320198059082,16,18
3500,18,0,2,1.0,0.9,0.9473684210526316,0.18846344947814941,18,20
3510,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.17596888542175293,18,19
3520,16,0,1,1.0,0.9411764705882353,0.9696969696969697,0.1720719337463379,16,17
3530,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.16536593437194824,18,19
3540,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.2975916862487793,18,19
3550,22,0,1,1.0,0.9565217391304348,0.9777777777777777,0.3394341468811035,22,23
3560,22,0,1,1.0,0.9565217391304348,0.9777777777777777,0.28823208808898926,22,23
3570,21,0,1,1.0,0.9545454545454546,0.9767441860465117,0.2752666473388672,21,22
3580,21,0,2,1.0,0.9130434782608695,0.9545454545454545,0.3513057231903076,21,23
3590,21,0,2,1.0,0.9130434782608695,0.9545454545454545,0.36029887199401855,21,23
3600,20,0,2,1.0,0.9090909090909091,0.9523809523809523,0.42533326148986816,20,22
3610,20,0,2,1.0,0.9090909090909091,0.9523809523809523,0.2769458293914795,20,22
3620,16,0,2,1.0,0.8888888888888888,0.9411764705882353,0.18784117698669434,16,18
3630,17,0,2,1.0,0.8947368421052632,0.9444444444444444,0.21548914909362793,17,19
3640,16,0,2,1.0,0.8888888888888888,0.9411764705882353,0.22367143630981445,16,18
3650,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.29073262214660645,18,19
3660,14,0,1,1.0,0.9333333333333333,0.9655172413793104,0.23313665390014648,14,15
3670,13,0,1,1.0,0.9285714285714286,0.962962962962963,0.19666194915771484,13,14
3680,12,0,1,1.0,0.9230769230769231,0.9600000000000001,0.4679901599884033,12,13
3690,15,0,1,1.0,0.9375,0.967741935483871,0.24911880493164062,15,16
